"recno","Timestamp","Observer","Location","Desg","Date","m1","diam","dc","pa","scope","comments","url"
"1383","2003-09-24 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2002 CE10 (LINEAR)","2003/09/24","15.7","8""","8/9","none","0.41m SCT/ccd....","Unchanged, continues to move rapidly SSW; quite stellar with no nebulosity",""
"1384","2003-09-24 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2002 R3 (LONEOS)","2003/09/24","15.7","11""","5/9","none","0.41m SCT/ccd....","Round and diffuse with hint of tail to SE of open coma",""
"1387","2003-09-25 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","P/2003 S1 (NEAT)","2003/09/25","17.9","<8""","7/9","none","0.41m SCT/ccd....","Very small and difficult in star-poor region; confirmed astrometrically via 4 obs.",""
"1390","2003-09-25 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","22P - Kopff","2003/09/25","*m2=18.4","25""","2/9","irreg.","0.41m SCT/ccd....","Comet is very large and evenly diffuse over large area; assessing centroid is difficult as is m1",""
"1392","2003-09-25 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","P/2002 O8 (NEAT)","2003/09/25","17.5 (m2)","<8""","7/9","none","0.41m SCT/ccd....","Very difficult, suspect because of some degree of nebulosity and lack of stellar core; confirmed astrometrically",""
"1393","2003-09-25 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","P/2003 O3 (LINEAR)","2003/09/25","18.5","8""","8/9","n/a","0.41m SCT/ccd....","Confirmed astrometrically, very faint and small; stellar in appearance",""
"1395","2003-09-25 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2002 X1 (LINEAR)","2003/09/25","14.6 (*)","14""","6/9","302","0.41m SCT/ccd....","Broad and diffuse tail centered at PA 302 deg, about 62"" length; very concentrated coma but with little indication of nucleus; very nice object",""
"1396","2003-09-25 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2001 HT50 (LINEAR-NEAT)","2003/09/25","13.2","19""","7/9","none","0.41m SCT/ccd....","Comet is very bright and highly concentrated; although tail is suspected NW of coma, this is uncertain; m2 is not stellar but highly condensed",""
"1398","2003-09-26 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2002 CE10 (LINEAR)","2003/09/26","15.6","9""","8/9","n/a","0.41m SCT/ccd....","Appears asteroidal and unchanged, no nebulosity",""
"1400","2003-09-26 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","P/2003 S1 (NEAT)","2003/09/26","18.1","8""","7/9","none","0.41m SCT/ccd....","In spite of very small size and low mag., the comet exhibits a hint of nebulosity",""
"1404","2003-09-26 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","P/2003 O3 (LINEAR)","2003/09/26","18.5","8""","8/9","n/a","0.41m SCT/ccd....","Continues very small and faint; very nice A2.0 comp. stars in field nearby",""
"1405","2003-09-26 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","36P Whipple","2003/09/26","19.1","<8""","7/9","n/a","0.41m SCT/ccd....","[[ threshold @ 19.5 ccd, tiny centroid on two images....?]]",""
"1406","2003-09-26 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2002 X1 (LINEAR)","2003/09/26","14.7 (*)","20""","6/9","298","0.41m SCT/ccd....","Very diffuse and broad tail in PA 298 (center); comet is open and quite nebulous with vague condensation(*m2=16.3ccd)",""
"1407","2003-09-26 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2002 T7 (LINEAR)","2003/09/26","11.3 (*)","","5/9","","0.41m SCT/ccd....","Very unusual extensions of coma in both directions (NW and SE) from coma, almost giving the impression of ""blunting"" of the coma; measures: 37"" x 22"" ellipse; very bright core (*m2=14.1ccd)","T7_0926b.jpg"
"1412","2003-09-27 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2003 H3 (NEAT)","2003/09/27","17.2","8""","6/9","none","0.41m SCT/ccd....","Comet is very faint and close to many similar mag. stars; slight nebulosity noted",""
"1413","2003-09-27 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2003 K4 (LINEAR)","2003/09/27","15.7","10""","4/9","126","0.41m SCT/ccd....","Very slight tail in PA 126 deg., 14"" length and broad; very diffuse",""
"1414","2003-09-27 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","P/2003 QX29","2003/09/27","19.0","<8""","8/9","none","0.41m SCT/ccd....","Tiny stellar object confirmed astrometrically on verge of threshold on excellent night",""
"1416","2003-09-28 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","43P Wolf-Harrington","2003/09/28","13.8 (*)","21""","7/9","below","0.41m SCT/ccd....","Very fine fan tail, albeit very diffuse with two streamers in PA 208 deg (110"" length) and 140 deg (55"" length); very strong nuclear concentration (*m2=14.8ccd)",""
"1419","2003-09-28 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2003 O1 (LINEAR)","2003/09/28","18.4","8""","8/9","none","0.41m SCT/ccd....","Very small but distinct stellar object moving among similarly bright stars; very difficult in clear skies",""
"1421","2003-09-28 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2001 K5 (LINEAR)","2003/09/28","15.7","10""","5/9","n/a","0.41m SCT/ccd....","In appulse with mag. 12.8 star and coma assessments difficult; tail in line with star",""
"1425","2003-09-28 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","P/2003 S1 (NEAT)","2003/09/28","18.0","8""","8/9","none","0.41m SCT/ccd....","Tiny and stellar in appearance, difficult in very clear skies",""
"1426","2003-09-28 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","2P Encke","2003/09/28","16.5","9""","7/9","none","0.41m SCT/ccd....","Comet appears slightly nebulous against similarly bright stars in field",""
"1427","2003-09-28 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2003 R1 (LINEAR)","2003/09/28","18.5","<8""","9/9","none","0.41m SCT/ccd....","Comet is very small, stellar; at threshold in slightly hazy skies",""
"1429","2003-09-28 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","P/2003 O3","2003/09/28","19.0","8""","8/9","none","0.41m SCT/ccd....","Very difficult object, extremely faint",""
"1430","2003-09-28 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","P/2003 O2 (LINEAR) *","2003/09/28","16.4","11""","6/9","none","0.41m SCT/ccd....","Round and diffuse with strong central conds; easy target in very rich star field",""
"1431","2003-09-28 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2002 X1 (LINEAR)","2003/09/28","14.9 (*)","14""","5/9","302","0.41m SCT/ccd....","Developing nicely with tail in PA 302 deg, about 52"" length; some central conds. (*m2=16.4ccd)",""
"1432","2003-09-28 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2002 T7 (LINEAR)","2003/09/28","11.7","44"" x 23""","6/9","none","0.41m SCT/ccd....","Very unusual nature of coma continues, with elongation or ellipse of coma in nearly north-south orientation; very concentrated ""hub"" of coma toward inner 1/3 of coma also characteristic of same elliptical shape",""
"1433","2003-09-29 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2002 CE10 (LINEAR)","2003/09/29","16.0","9""","8/9","none","0.41m SCT/ccd....","Evidently dimmer than on previous night, still quite stellar in appearance",""
"1436","2003-09-29 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","29P Schwassmann-Wachmann","2003/09/29","12.2 (*)","40""","6/9","irreg.","0.41m SCT/ccd....","Very nice developments within coma, with central 1/4 of coma area highly condensed and ellipsoid; some differentiation between outer and inner coma (see image). *m2=14.9ccd","29p_0929_OUTBURST.jpg"
"1437","2003-09-29 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","P/2003 S1 (NEAT)","2003/09/29","17.2","8""","7/9","none","0.41m SCT/ccd....","Clearly nebulous in spite of faintness; very small",""
"1440","2003-10-02 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2003 S4 (LINEAR)","2003/10/02","18.5","10""","7/9","none","0.41m SCT/ccd....","Comet is very open and diffuse for so faint an object; no central conds. noted; nice object",""
"1441","2003-10-02 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2003 R1 (LINEAR)","2003/10/02","17.1","8""","8/9","none","0.41m SCT/ccd....","Very small, stellar, moving westward",""
"1442","2003-10-02 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","P/2003 S1 (NEAT)","2003/10/02","17.7","9""","7/9","none","0.41m SCT/ccd....","Very faint and appears slightly diffuse",""
"1446","2003-10-02 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","P/2002 O8 (NEAT)","2003/10/02","18.9","<8""","8/9","none","0.41m SCT/ccd....","",""
"1447","2003-10-02 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2002 X1 (LINEAR)","2003/10/02","14.9 (*)","20""","7/9","fan, 282 to","0.41m SCT/ccd....","Very nice but vague fanned tail from PA 282 through 03 deg; streamer strong in PA 294 deg., 22"" length; very strong nucleus (*m2=15.7ccd)",""
"1452","2003-10-14 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2002 X1 (LINEAR)","2003/10/14","*m2=15.4","12"" (moon)","6/9","none","0.41m SCT/ccd....","Measured astrometrically through heavy incoming clouds.",""
"1453","2003-10-15 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","P/2003 S1 (NEAT)","2003/10/15","17.6","9""","7/9","none","0.41m SCT/ccd....","Tiny comet is round and conspicuously nebulous; easily detected in spite of strong moonlight",""
"1460","2003-10-17 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","P/2003 S1 (NEAT)","2003/10/17","17.4","<8""","8/9","none","0.41m SCT/ccd....","Very small, starlike; confirmed astrometrically",""
"1461","2003-10-18 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2002 CE10 (LINEAR)","2003/10/18","17.2","8""","8/9","none","0.41m SCT/ccd....","Fading, but still quite stellar in appearance",""
"1463","2003-10-18 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2003 H3 (NEAT)","2003/10/18","17.1","<8""","6/9","none","0.41m SCT/ccd....","Distinctly diffuse, but very small and faint",""
"1464","2003-10-18 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","29P Schwassmann-Wachmann","2003/10/18","m2=15.1","22""","3/9","none","0.41m SCT/ccd....","Note that coma is very irregular with strong offset toward E. from centroid; only a hint of concentration toward center",""
"1466","2003-10-18 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","P/2003 S1 (NEAT)","2003/10/18","17.7","<8""","8/9","none","0.41m SCT/ccd....","Completely stellar and faint; confirmed astrometrically",""
"1468","2003-10-18 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","22P - Kopff","2003/10/18","17.5 (m2)","19""","2/9","none","0.41m SCT/ccd....","This is a tough one; almost transparent in ccd images with no clear centroid and slightly irregular",""
"1470","2003-10-18 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","P/2003 O3","2003/10/18","17.8","8""","7/9","none","0.41m SCT/ccd....","Suspected to be slightly diffuse; very small, confirmed astrometrically",""
"1475","2003-10-19 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","P/2003 S1 (NEAT)","2003/10/19","17.4","<8""","8/9","none","0.41m SCT/ccd....","Very tiny and quite faint",""
"1476","2003-10-19 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","P/2003 O3","2003/10/19","17.7","8""","8/9","none","0.41m SCT/ccd....","Very small, stellar",""
"1477","2003-10-19 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2002 X1 (LINEAR)","2003/10/19","14.7","18""","4/9","315","0.41m SCT/ccd....","Very faint tail in PA 315, strong for about 30"" then rapidly fading; coma is very evenly illuminated and quite round, little central conds.",""
"1479","2003-10-19 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2002 T7 (LINEAR)","2003/10/19","10.1 (*)","elong.","6/9","none","0.41m SCT/ccd....","Comet is brightening rapidly; Interesting changes within coma: nuclear concentration is becoming less ellipsoidal while ellipse continues in both eccentricity and size for overall coma; *m2=12.7ccd and becoming nearly round with slight ellipse. Coma size is 50"" x 32"" oriented in SE to NW configuration without change from previous dates",""
"1482","2003-10-20 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","P/2003 S2 (NEAT)","2003/10/20","15.6 (*)","11""","4/9","none","0.41m SCT/ccd....","Very open and diffuse with nice even coma, centrally embedded nucleus (*m2=16.5ccd)",""
"1483","2003-10-20 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2003 K4 (LINEAR)","2003/10/20","14.9","11""","4/9","none","0.41m SCT/ccd....","Very open and diffuse; small but clearly nebulous",""
"1485","2003-10-20 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2003 O1 (LINEAR)","2003/10/20","19.0","<8""","8/9","none","0.41m SCT/ccd....","Tiny, starlike and confirmed astrometrically",""
"1491","2003-10-21 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2003 H3 (NEAT)","2003/10/21","16.3","10""","4/9","none","0.41m SCT/ccd....","Round and nebulous with little central conds.",""
"1494","2003-10-21 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","P/2003 S2 (NEAT)","2003/10/21","16.8","9""","6/9","none","0.41m SCT/ccd....","Open with slight central condensation, no tail",""
"1495","2003-10-21 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2002 X1 (LINEAR)","2003/10/21","14.8","11""","4/9","nortth, fan","0.41m SCT/ccd....","Haze to south, but a broad fanned extension to coma to north; very little central conds, round coma",""
"1501","2003-10-22 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","2P Encke","2003/10/22","15.1","8""","8/9","none","0.41m SCT/ccd....","No tail at all imaged tonight in four images; very stellar without nebulosity; seems to be fading somewhat",""
"1502","2003-10-22 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","P/2003 S1 (NEAT)","2003/10/22","17.5","8""","7/9","none","0.41m SCT/ccd....","Comet has distinct nebulosity but is quite small; round",""
"1503","2003-10-22 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2002 V2 (LINEAR)","2003/10/22","18.0","<8""","7/9","none","0.41m SCT/ccd....","Very faint, diffuse and difficult, low in SE sky",""
"1504","2003-10-22 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2001 HT50 (LINEAR-NEAT)","2003/10/22","11.3","58""","5/9","80","0.41m SCT/ccd....","Developing into a spectacular comet, with a very broad but straight tail in PA 80 and also a fan that extends nearly centered on south from the centroid of the comet; no central conds. noted because of intensity of coma core",""
"1510","2003-10-23 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","P/2003 S1 (NEAT)","2003/10/23","17.4","10""","6/9","none","0.41m SCT/ccd....","Very diffuse and round; small, no central conds.",""
"1512","2003-10-23 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","P/2003 S2 (NEAT)","2003/10/23","17.0","11""","6/9","none","0.41m SCT/ccd....","Round and open; quite diffuse",""
"1513","2003-10-23 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","22P - Kopff","2003/10/23","19.0 (m2)","23""","2/9","none","0.41m SCT/ccd....","An incredibly faint and transparent coma with no nuclear center whatsoever; very difficult to assess astrometric centroid",""
"1514","2003-10-23 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2001 HT50 (LINEAR-NEAT)","2003/10/23","11.4 (*)","40""","5/9","80","0.41m SCT/ccd....","Interesting tail structure, with a large stubby ""plume"" emanating to south from coma; however, a major very faint (gas?) tail extends for several minutes arc in PA 80 deg.; *m2=14.4 ccd",""
"1524","2003-10-24 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","P/2003 S1 (NEAT)","2003/10/24","17.4","9""","7/9","none","0.41m SCT/ccd....","Comet is somewhat diffuse in very star poor field; no clear nucleus and no tail",""
"1525","2003-10-24 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2002 V2 (LINEAR)","2003/10/24","19.2 (m2)","<8""","8/9","none","0.41m SCT/ccd....","",""
"1527","2003-10-24 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2003 U1 (LINEAR)","2003/10/24","17.0","","6/9","none","0.41m SCT/ccd....","Comet moving rapidly to west among stars; very open and diffuse, round; the comet is markedly brighter on this date than previously",""
"1532","2003-10-27 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","P/2003 S2 (NEAT)","2003/10/27","16.9","9""","6/9","none","0.41m SCT/ccd....","Comet is open, round and without central condensation; very condensed and easy target in star-poor field",""
"1533","2003-10-27 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2002 T7 (LINEAR)","2003/10/27","10.9 (*)","58"" x 42""","","","0.41m SCT/ccd....","Coma is ""blunted"" on E. side or seemingly ""notched"" in undersaturated images; very curious darkening to this side; coma still elliptical and no sign of tail; (*m2=13.4ccd)",""
"1536","2003-10-29 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2002 T7 (LINEAR)","2003/10/29","9.9 (*)","51"" x 40""","7/9","none","0.41m SCT/ccd....","Coma well differentiated in brightness between central 1/2 and outer perimeter; outer portions now becoming somewhat more transparent while the inner 1/2 is very concentrated (*m2=12.6ccd); elongation of coma continues, 51"" x 40""",""
"1541","2003-10-29 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","P/2002 T5 (LINEAR)","2003/10/29","17.7","9""","7/9","none","0.41m SCT/ccd....","Very small, diffuse, not stellar",""
"1543","2003-10-30 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2002 X1 (LINEAR)","2003/10/30","15.0 (*)","16"" haze","7/9","n/a","0.41m SCT/ccd....","Imaged astrometrically in haze; *m2=16.2ccd); tail evident to NNE but not measured",""
"1544","2003-10-30 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","P/2003 S1 (NEAT)","2003/10/30","17.5","8""","7/9","none","0.41m SCT/ccd....","Slightly diffuse and quite small",""
"1546","2003-10-30 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2002 T7 (LINEAR)","2003/10/30","9.9 (*)","60"" x 44""","5/9","none","0.41m SCT/ccd....","Images reveal some irregularity stemming from perimeter of central ""core"" of this comet, and some indication of curving or spiral jets similar to those seen with 29P frequently; coma continues to be elongated, but is growing less so and the coma is becoming more uniformly bright; *m2=12.6ccd","t7_1030a1.jpg"
"1549","2003-11-01 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2002 T7 (LINEAR)","2003/11/01","9.7 (*)","65"" x 50""","5/9","none","0.41m SCT/ccd....","Coma elongation continues (65""  x50"") while overall size grows; little change in brightness (*m2=12.8ccd) and overall morphology of comet seems consistent",""
"1550","2003-11-01 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","P/2002 T5 (LINEAR)","2003/11/01","17.2","9""","7/9","none","0.41m SCT/ccd....","Moving very close to similar mag. star group; diffuse under hazy and foggy skies",""
"1551","2003-11-01 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2003 T2 (LINEAR)","2003/11/01","17.1 (m2)","~11""","6/9","unknown","0.41m SCT/ccd....","Fog in northern skies affecting overall physical measurements; astrometric only; nuclear brightess appears consistent from last observations",""
"1554","2003-11-02 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2002 X1 (LINEAR)","2003/11/02","15.5 (m2)","14"" (moon)","6/9","n/a","0.41m SCT/ccd....","Comet measured low on SE horizon, with strong moonlight",""
"1555","2003-11-02 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","P/2003 S1 (NEAT)","2003/11/02","17.8","8""","7/9","none","0.41m SCT/ccd....","Small with slight nebulosity; moving rapidly",""
"1559","2003-11-02 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2001 HT50 (LINEAR-NEAT)","2003/11/02","11.9 (*)","47""","5/9","fan, south","0.41m SCT/ccd....","Very broad, expaning, fan tail centered due south of comet, but very short; coma is 47"" diameter, *m2=14.0ccd",""
"1562","2003-11-02 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","P/2003 O2 (LINEAR) *","2003/11/02","16.9 (*)","9""","7/9","none","0.41m SCT/ccd....","Comet is round and diffuse, no tail but distinct stellar nucleus(*m2=18.0ccd); moving very slowly northward",""
"1563","2003-11-03 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","P/2003 S1 (NEAT)","2003/11/03","17.7","9""","7/9","none","0.41m SCT/ccd....","Very difficult due to strong moonlight to SW",""
"1564","2003-11-03 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","P/2003 S2 (NEAT)","2003/11/03","16.6","9""","7/9","none","0.41m SCT/ccd....","Comet is easy target in star-poor region; quite stellar but slightly diffuse in comparison to close similar stars",""
"1565","2003-11-03 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","22P - Kopff","2003/11/03","18.6 (m2)","22""","2/9","n/a","0.41m SCT/ccd....","Incredibly difficult object to astrometrically assess, with no clear center NOR is there any symmetry to the very veiled and thin coma",""
"1567","2003-11-03 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2003 T2 (LINEAR)","2003/11/03","16.0","10""","6/9","192","0.41m SCT/ccd....","Comet is very diffuse with a suspect short tail in PA 192 deg.; very little central conds.",""
"1570","2003-11-04 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2002 CE10 (LINEAR)","2003/11/04","17.7","8""","8/9","n/a","0.41m SCT/ccd....","Becoming very faint; moonlight and comet is near SE horizon at this time",""
"1573","2003-11-04 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2002 X1 (LINEAR)","2003/11/04","15.0 (*)","12""","6/9","n/a","0.41m SCT/ccd....","Strong moonlight and low in SW sky; *m2=16.8ccd; very little indication of tail because of bright sky",""
"1579","2003-11-04 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","157P - Tritton","2003/11/04","15.5 (m2)","13""","7/9","294","0.41m SCT/ccd....","Nice long tail persists in PA 294, although does not seem as broad nor segmented as previously; haze low in eastern sky precludes m1 estimates; coma is nearly linear and elongated",""
"1582","2003-11-08 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2003 T2 (LINEAR)","2003/11/08","16.1","10""","7/9","n/a","0.41m SCT/ccd....","Comet measured in very strong near-full moonlight; moving steadily southward; slightly condensed but very diffuse overall",""
"1583","2003-11-12 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2001 K5 (LINEAR)","2003/11/12","15.9","6/9","10""","231","0.41m SCT/ccd....","Comet is growing smaller and fainter; with gently curving tail in PA 231 deg; much less condensed coma than previously",""
"1587","2003-11-19 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2003 T2 (LINEAR)","2003/11/19","16.9","11""","5/9","n/a","0.41m SCT/ccd....","Comet is very diffuse and irregular, moving rapidly southward; beautiful object in rich star field",""
"1590","2003-11-19 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","P/2002 T5 (LINEAR)","2003/11/19","16.7 (*)","11""","5/9","none","0.41m SCT/ccd....","Open and diffuse; centroid difficult to determine; *m2-17.4ccd",""
"1592","2003-11-19 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","157P - Tritton","2003/11/19","15.7 (m2)","19""","4/9","292","0.41m SCT/ccd....","Very broad coma and tail; PA of tail is 292 and is masked in moonlight; m1 not possible due to proximity of moon.",""
"1596","2003-11-20 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2003 W1 (LINEAR)","2003/11/20","17.4","11""","6/9","irreg.","0.41m SCT/ccd....","No tail and very irregular and diffuse coma; very difficult to assess centroid astrometrically in five measurements, although coma is clearly distinguishable",""
"1597","2003-11-20 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2001 HT50 (LINEAR-NEAT)","2003/11/20","12.9","55""","5/9","81","0.41m SCT/ccd....","Very faint and broad tail in PA 81 deg. rapidly fades away from thick coma; uniform brightness across large coma, some fading in recent weeks",""
"1601","2003-11-20 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","P/2002 T5 (LINEAR)","2003/11/20","16.3","12"" x 7""","7/9","none","0.41m SCT/ccd....","Comet is elonated E-W, 12"" x 7"" ellipse; very narrow and concentrated",""
"1603","2003-11-21 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2003 T2 (LINEAR)","2003/11/21","16.7","8""","7/9","n/a","0.41m SCT/ccd....","Measured in haze, appears dim and virtually unchanged",""
"1604","2003-11-21 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","2003 VG1 (NEO)","2003/11/21","17.8 (R)","","","","0.41m SCT/ccd....","Minor Planet",""
"1605","2003-11-21 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","2003 WG (NEO)","2003/11/21","17.3-17.6","","","","0.41m SCT/ccd....","Minor planet; some oscillatory brightness fluctuations possible",""
"1606","2003-11-21 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","2938 (Hopi) MP","2003/11/21","15.2","","","","0.41m SCT/ccd....","Minor planet",""
"1607","2003-11-21 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","1627 (Ivar) MP","2003/11/21","14.0 (R)","","","","0.41m SCT/ccd....","Minor planet Ivar",""
"1608","2003-11-21 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","4055 (Magellan) MP","2003/11/21","16.7 (R)","","","","0.41m SCT/ccd....","",""
"1609","2003-11-22 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2002 CE10 (LINEAR)","2003/11/22","17.1","8""","7/9","none","0.41m SCT/ccd....","Comet is very faint and seems virtually unchanged; nearly asteroidal in nature",""
"1610","2003-11-22 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2001 HT50 (LINEAR-NEAT)","2003/11/22","12.9","47""","5/9","85 deg + 165","0.41m SCT/ccd....","A very nice extension from the coma at PA 165 deg; main tail in PA 85 deg and very vague; coma continues very round and evenly concentrated; pretty object",""
"1613","2003-11-24 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","P/2002 T5 (LINEAR)","2003/11/24","17.0","11""","6/9","313","0.41m SCT/ccd....","A very fine but faint tail in PA 313 deg; comet is quite diffuse, with fairly large evenly distributed coma",""
"1614","2003-11-24 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2003 V1 (LINEAR)","2003/11/24","16.2 (*)","13""","5/9","306","0.41m SCT/ccd....","Comet has nice tail in PA 306 deg, about 40"" length; quite diffuse with large coma for overall size",""
"1615","2003-11-24 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","40P Vaisala","2003/11/24","15.9","13""","4/9","none","0.41m SCT/ccd....","Comet very low in SE sky with some haze; no tail noted and coma appears very large, quite open, for such conditions",""
"1616","2003-11-25 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2002 T7 (LINEAR)","2003/11/25","9.4 (*)","70"" x 64""","5/9","121","0.41m SCT/ccd....","Development of comet seems to be rather at a plateau at this point; coma size (70"" x 64"") and shape is consistent for previous dates and magnitude also (*m2=11.5ccd); seems however to be increasingly concentrated with only a short hint of tail (PA 121 deg.)",""
"1619","2003-11-25 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","36P Whipple","2003/11/25","16.9","13""","5/9","none","0.41m SCT/ccd....","Very easy target, large and round, evenly diffuse with no central conds.",""
"1621","2003-11-25 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","C/2003 T4 (LINEAR)","2003/11/25","16.6","12""","6/9","none","0.41m SCT/ccd....","Quite large and conspicuous, very diffuse and evenly distributed brightness across coma",""
"1624","2003-11-28 00:00:00","P. Clay Sherrod","ASO - Petit Jean H41","36P Whipple","2003/11/28","17.2","10""","4/9","none","0.41m SCT/ccd....","Round and very diffuse; no central conds.",""
